UEI,Start Date,End Date,Duration(Days),Main Cause,Location,Districts,State,Latitude,Longitude,Severity,Area Affected,Human fatality,Human injured,Human Displaced,Animal Fatality,Description of Casualties/injured,Extent of damage,Event Source,Event Souce ID,District_LGD_Codes,State_Codes
UEI-IMD-FL-2006-0047,2006-05-23,2006-05-23,1.0,heavy rains,,Kozhikode,Kerala,,,,,1.0,,,,One person died.,Landslide reported.,IMD,,561,32
UEI-IMD-FL-2006-0048,2006-05-27,2006-05-29,3.0,heavy rains,,"Alappuzha, Kannur, Kasaragod, Kollam, Kottayam, Kozhikode, Malappuram, Thiruvananthapuram,Thrissur,Wayanad",Kerala,,,,,2.0,12.0,,,"2 persons died,12 persons injured.","i) 120 houses completely,1038 partially damaged. ii) Extensive damage to agriculture reported. iii) Many trees uprooted. iv) 2 fishing boats collapsed",IMD,,"554, 557, 558, 559, 560, 561, 562, 565, 566, 567",32
UEI-IMD-FL-2006-0049,2006-06-01,2006-06-01,1.0,heavy rains,,"Alappuzha, Ernakulam, Kannur, Kollam, Kozhikode, Palakkad, Thrissur,Wayanad",Kerala,,,,,10.0,3.0,,,"10 persons died,3 other missing.","i) Around 25 acres of paddy,plantains in 106 hectares of land destroyed. ii) Extensive damage to agriculture reported.",IMD,,"554, 555, 557, 559, 561, 563, 566, 567",32
UEI-IMD-FL-2006-0050,2006-06-23,2006-06-25,3.0,heavy rains,,"Alappuzha, Kozhikode, Malappuram,Thiruvananthapuram",Kerala,,,,,3.0,2.0,,,"3 persons died,2 other missing.","i) 19 houses completely,5 partially damaged. ii) Extensive damage to agriculture reported. iii) Schedule of air services disrupted.",IMD,,"554, 561, 562, 565",32
UEI-IMD-FL-2006-0051,2006-06-29,2006-06-29,1.0,heavy rains,,Malappuram,Kerala,,,,,,,,,,Schedule of air services disrupted.,IMD,,562,32
UEI-IMD-FL-2006-0052,2006-07-01,2006-07-03,3.0,heavy rains,,"Kannur,Wayanad",Kerala,,,,,1.0,,,,One person died.,"i) 2 houses completely,74 houses partially damaged. ii) Extensive damage to agriculture in 84.2 hectares reported",IMD,,"557, 567",32
UEI-IMD-FL-2006-0053,2006-07-04,2006-07-04,1.0,heavy rains,,"Malikkeri,Wayanad",Kerala,,,,,6.0,1.0,,,"4 children,2 women died,a girl injured.","i) Landslide reported. ii) 78 houses completely,266 houses partially damaged. iii) Extensive damage to agriculture reported.",IMD,,"None, 567",32
UEI-IMD-FL-2006-0054,2006-07-05,2006-07-06,2.0,heavy rains,,Wayanad,Kerala,,,,,,,,,,"i) 97 houses collapsed. 2 houses completely,154 houses partially damaged. ii) Low lying areas flooded. iii) Extensive damage to agriculture reported.",IMD,,567,32
UEI-IMD-FL-2006-0055,2006-08-13,2006-08-13,1.0,heavy rains,,Wayanad,Kerala,,,,,,,,,,i) One house completely damaged. ii) Low lying areas flooded.,IMD,,567,32
UEI-IMD-FL-2006-0056,2006-09-22,2006-09-22,1.0,flash flood,,Thiruvananthapuram,Kerala,,,,,,,,,,i) Low lying areas flooded. ii) Extensive damage to agriculture reported. iii) Hundreds of families shifted to relief camp.,IMD,,565,32
UEI-IMD-FL-2006-0057,2006-09-25,2006-09-27,3.0,heavy rains,,"Kollam, Kottayam, Palakkad, Pathanamthitta,Thiruvananthapuram",Kerala,,,,,2.0,,,,2 women died.,"i) 82 houses completely,273 houses partially damaged. ii) Extensive damage to agriculture reported. iii) Low lying areas flooded.",IMD,,"559, 560, 563, 564, 565",32
UEI-IMD-FL-2006-0058,2006-10-18,2006-10-18,1.0,heavy rains,,Thiruvananthapuram,Kerala,,,,,,,,,,i) Low lying areas flooded. ii) Electric lines disrupted.,IMD,,565,32
UEI-IMD-FL-2006-0059,2006-10-28,2006-10-29,2.0,heavy rains,,Thiruvananthapuram,Kerala,,,,,2.0,6.0,,,"2 persons died in Kattakkada, 2 persons missing,4 other injured.","i) 22 houses completely,598 houses partially damaged. ii) Low lying areas flooded. iii) 2 fishing boats damaged. iv) Widespread damage to agriculture reported",IMD,,565,32
UEI-IMD-FL-2006-0060,2006-11-04,2006-11-04,1.0,heavy rains,,Wayanad,Kerala,,,,,,,,,,i) Electric/telephone lines affected. ii) Low lying areas inundated.,IMD,,567,32
UEI-IMD-FL-2006-0061,2006-11-08,2006-11-08,1.0,heavy rains,,Thiruvananthapuram,Kerala,,,,,,,,,,One bridge damaged in Nedumangad.,IMD,,565,32
UEI-IMD-FL-2006-0062,2006-11-21,2006-11-21,1.0,heavy rains,,Thiruvananthapuram,Kerala,,,,,,,,,,i) Low lying areas flooded. ii) Road transport disrupted.,IMD,,565,32
UEI-IMD-FL-2006-0063,2006-11-25,2006-11-25,1.0,heavy rains,,Kottayam,Kerala,,,,,1.0,,,,One person died in Jhalanadu.,Landslide reported.,IMD,,560,32
UEI-IMD-FL-2007-0077,2007-02-26,2007-02-26,1.0,heavy rains,,Kollam,Kerala,,,,,2.0,5.0,,,"2 persons died,5 injured.",A cashew nut factory completely damaged.,IMD,,559,32
UEI-IMD-FL-2007-0078,2007-04-21,2007-04-21,1.0,moderate flood,,Wayanad,Kerala,,,,,,,,,,i) Roads flooded. ii) Roofs of houses collapsed. iii) Electric lines disrupted.,IMD,,567,32
UEI-IMD-FL-2007-0079,2007-06-07,2007-06-07,1.0,heavy rains,,Wayanad,Kerala,,,,,,,,,,"i) Extensive damage to buildings,agriculture reported. ii) 600 plantains destroyed, rubber trees broken,coconut & palm trees uprooted.",IMD,,567,32
UEI-IMD-FL-2007-0080,2007-06-10,2007-06-10,1.0,heavy rains,,Wayanad,Kerala,,,,,,,,,,5000 plantains destroyed.,IMD,,567,32
UEI-IMD-FL-2007-0081,2007-06-14,2007-06-14,1.0,heavy rains,,Kasaragod,Kerala,,,,,1.0,,,,One youth died.,,IMD,,558,32
UEI-IMD-FL-2007-0082,2007-06-22,2007-06-28,7.0,heavy rains,,"Alappuzha, Ernakulam,  Idukki, Kannur, Kasaragod, Kottayam, Kozhikode, Malappuram, Palakkad, Pathanamthitta, Thrissur, Thiruvananthapuram,Wayanad",Kerala,,,,,77.0,103.0,,,"77 persons died, 66 injured in different incidents,27 reported missing.","i) Landslide reported in Wayanad district. ii) More than 10,000 palm trees uprooted in Wayanad district. iii) 1766 houses completely,1240 partially damaged. iv) Extensive damage to agriculture reported. v) Traffic,electric lines disrupted. vi) Roofs of houses/school blown away. vii) Bridge flooded,low lying areas submerged.",IMD,,"554, 555, 556, 557, 558, 560, 561, 562, 563, 564, 566, 565, 567",32
UEI-IMD-FL-2007-0083,2007-06-28,2007-06-29,2.0,heavy rains,,Wayanad,Kerala,,,,,,,,,,"i) 33 houses completely,about 1759 houses partially damaged. ii) Extensive damage to agriculture reported.Around 518 hectares of land destroyed. iii) Trees uprooted,large number of plantains destroyed",IMD,,567,32
UEI-IMD-FL-2007-0084,2007-07-01,2007-07-01,1.0,heavy rains,,Idukki,Kerala,,,,,,3.0,,,3 persons injured.,"i) A police camp,workshed of power house damaged. ii) Road transport disrupted. iii) Widespread damage to agriculture,property reported. iv) 11 houses fully,88 houses partially damaged.",IMD,,556,32
UEI-IMD-FL-2007-0085,2007-07-02,2007-07-02,1.0,heavy rains,,"Ernakulam, Idukki, Kollam, Wayanad",Kerala,,,,,1.0,,,,i) One person died. ii) Few animals washed away.,"Few houses,agricultural areas washed away.",IMD,,"555, 556, 559, 567",32
UEI-IMD-FL-2007-0086,2007-07-04,2007-07-05,2.0,heavy rains,,Wayanad,Kerala,,,,,,2.0,,,2 persons injured due to landslide.,"i) 12 houses completely,487 partially damaged. ii) Low lying areas submerged. iii) Roads flooded, trees uprooted,traffic disrupted.",IMD,,567,32
UEI-IMD-FL-2007-0087,2007-07-14,2007-07-18,5.0,heavy rains,,"Alappuzha, Idukki, Kannur, Kottayam, Kozhikode, Malappuram, Pathanamthitta, Thiruvananthapuram,Wayanad",Kerala,,,,,30.0,2.0,,,"30 persons died,2 reported missing.","i) 67 houses completely,645 partially damaged. 14,800 houses flooded. ii) Extensive damage to agriculture (around 8000 hectares of land) reported. Plantains destroyed iii) Low lying areas,bridges flooded. iv) Electric/telephone lines disrupted,trees uprooted",IMD,,"554, 556, 557, 560, 561, 562, 564, 565, 567",32
UEI-IMD-FL-2007-0088,2007-07-26,2007-07-28,3.0,heavy rains,,Wayanad,Kerala,,,,,,,,,,"i)Extensive damage to paddy,ginger reported.Field in acres submerged. ii) One house,a hotel destroyed.",IMD,,567,32
UEI-IMD-FL-2007-0089,2007-09-09,2007-09-09,1.0,heavy rains,,Thiruvananthapuram,Kerala,,,,,,,,,,"i) First floor of a hospital submerged. ii) Road traffic disrupted. iii) Many houses,vehicles submerged under water.",IMD,,565,32
UEI-IMD-FL-2007-0090,2007-10-21,2007-10-21,1.0,heavy rains,,Thiruvananthapuram,Kerala,,,,,,,,,,"Around 70,000 plantains in around 60 acres of land destroyed.",IMD,,565,32
UEI-IMD-FL-2007-0091,2007-11-03,2007-11-09,7.0,heavy rains,,"Alappuzha, Malappuram, Pathanamthitta, Thiruvananthapuram,Wayanad",Kerala,,,,,,5.0,,,5 persons injured.,"i) Extensive damage to agriculture reported. ii) 15 houses,a school inundated. Roofs of houses collapsed. iii) Roads, rail tracks, canals,low lying areas flooded. iv) National highway submerged. v) Several trees uprooted. vi) Road traffic,electric supply disrupted.",IMD,,"554, 562, 564, 565, 567",32
UEI-IMD-FL-2008-0062,2008-03-13,2008-03-24,12.0,heavy rains,,"Alappuzha, Ernakulam Kannur, Kasaragod,Kollam, Kottayam, Kozhikode, Malappuram, Palakkad, Pathanamthitta, Thiruvananthapuram, Thrissur,Wayanad",Kerala,,,,,16.0,20.0,,1,"i) 16 persons died,20 others injured. ii) One cattle perished.",i) Paddy crops in more than 13000 hectares destroyed. ii) About 400 houses damaged.,IMD,,"554, None, 558, 559, 560, 561, 562, 563, 564, 565, 566, 567",32
UEI-IMD-FL-2008-0063,2008-04-08,2008-04-11,4.0,heavy rains,,Thiruvananthapuram,Kerala,,,,,,,,,,i) Many coconut trees uprooted. ii) Few houses collapsed.,IMD,,565,32
UEI-IMD-FL-2008-0064,2008-04-23,2008-04-25,3.0,heavy rains,,Wayanad,Kerala,,,,,,,,,,i) About 300 houses collapsed. ii) Extensive damage to agriculture reported.,IMD,,567,32
UEI-IMD-FL-2008-0065,2008-07-11,2008-07-15,5.0,heavy rains,,Thiruvananthapuram,Kerala,,,,,1.0,,,,One person died,,IMD,,565,32
UEI-IMD-FL-2008-0066,2008-07-28,2008-07-30,3.0,heavy rains,,"Alappuzha, Idukki, Kollam, Kottayam, Palakkad, Pathanamthitta, Thiruvananthapuram,Wayanad",Kerala,,,,,1.0,5.0,,,"One person died,5 others persons injured.","i) 36 houses damaged,200 houses partially damaged. ii) Traffic, telephone lines disrupted due to uprooting of trees. ii) Low lying areas inundated.",IMD,,"554, 556, 559, 560, 563, 564, 565, 567",32
UEI-IMD-FL-2008-0067,2008-08-10,2008-08-12,3.0,heavy rains,,"Palakkad,Wayanad",Kerala,,,,,2.0,,,,2 persons died.,i). Few houses collapsed. 1) Extensive damage to agriculture reported.,IMD,,"563, 567",32
UEI-IMD-FL-2008-0068,2008-08-31,2008-08-31,1.0,heavy rains,,Thiruvananthapuram,Kerala,,,,,,10.0,,,10 persons injured.,i)About 8 houses damaged. ii)Low lying areas flooded. iii)Traffic disrupted.,IMD,,565,32
UEI-IMD-FL-2008-0069,2008-09-01,2008-09-05,5.0,heavy rains,,"Malappuram, Pathanamthitta, Thiruvananthapuram",Kerala,,,,,1.0,,,,One person died.,"1) Landslide reported. ii) Extensive damage to crops,property reported. iii) Few houses flooded. iv) Traffic disrupted.",IMD,,"562, 564, 565",32
UEI-IMD-FL-2008-0070,2008-09-07,2008-09-08,2.0,flash flood,,"Idukki, Kasaragod,Kottayam",Kerala,,,,,,,,,,i) Extensive damage to agriculture reported. ii) Landslide reported. ii) Many houses collapsed.,IMD,,"556, 558, 560",32
UEI-IMD-FL-2008-0071,2008-10-19,2008-10-27,9.0,heavy rains,,"Alappuzha, Kottayam, Kozhikode, Malappuram, Palakkad, Thiruvananthapuram, Thrissur,Wayanad",Kerala,,,,,6.0,16.0,,,"6 persons died,16 others injured.","i) Many houses damaged. ii) 18,000 acres of paddy crop flooded.",IMD,,"554, 560, 561, 562, 563, 565, 566, 567",32
UEI-IMD-FL-2009-0034,2009-05-26,2009-05-26,1.0,heavy rains,,"Alappuzha, Kollam, Kottayam,Thiruvananthapuram",Kerala,,,,,,1.0,,,One girl washed away.,"4 houses completely,115 houses partially damaged.",IMD,,"554, 559, 560, 565",32
UEI-IMD-FL-2009-0035,2009-07-05,2009-07-05,1.0,heavy rains,,"Kozhikode, Thrissur,Wayanad",Kerala,,,,,5.0,,,,5 persons died.,,IMD,,"561, 566, 567",32
UEI-IMD-FL-2009-0036,2009-07-11,2009-07-12,2.0,heavy rains,,Wayanad,Kerala,,,,,,,,,,i)About 600 plantations destroyed. ii) Landslide reported.,IMD,,567,32
UEI-IMD-FL-2009-0037,2009-07-15,2009-07-18,4.0,heavy rains,,"Alappuzha, Ernakulam, Idukki, Kannur, Kasaragod, Kollam, Kozhikode, Pathanamthitta, Thrissur,Thiruvananthapuram",Kerala,,,,,33.0,,,,33 persons died.,"i) 363 houses completely,811 partially damaged. ii) In 666 hectares of cropland a loss of about Rs.10 crores reported.",IMD,,"554, 555, 556, 557, 558, 559, 561, 564, 566, 565",32
UEI-IMD-FL-2009-0038,2009-07-20,2009-07-22,3.0,heavy rains,,Wayanad,Kerala,,,,,7.0,10.0,,17,"i) 7 persons died,10 persons injured. ii) 17 cattle washed away.","i) Landslide reported in 14 places. ii) 316 houses completely,3991 houses partially damaged. iii) Extensive damage to agriculture reported. iv) In 1372 hectares of land a total loss of Rs. 44 crores reported.",IMD,,567,32
UEI-IMD-FL-2009-0039,2009-09-18,2009-09-18,1.0,heavy rains,,Kottayam,Kerala,,,,,1.0,,,,One person died..,,IMD,,560,32
UEI-IMD-FL-2009-0040,2009-10-03,2009-10-03,1.0,heavy rains,,"Alappuzha, Ernakulam, Kollam, Kozhikode, Malappuram, Pathanamthitta, Thrissur,Thiruvananthapuram",Kerala,,,,,,,,,,"i) 112 houses completely,539 houses partially damaged. ii) Landslide reported. iii) About 3,000 acres of paddy fields flooded. iv) Lossof around 1.5 crores of rupees reported. V) Extensive damage to Agriculture reported.",IMD,,"554, 555, 559, 561, 562, 564, 566, 565",32
UEI-IMD-FL-2009-0041,2009-11-07,2009-11-08,2.0,heavy rains,,"Idukki, Palakkad,Thiruvananthapuram",Kerala,,,,,1.0,,,,i) One person died. ii) Many cattle heads washed away.,i) Landslide reported. ii) 21 houses collapsed and. 80 partially damaged. iii) Damage to standing crops reported.,IMD,,"556, 563, 565",32
UEI-IMD-FL-2009-0042,2009-12-27,2009-12-29,3.0,heavy rains,,Wayanad,Kerala,,,,,,,,,,"Extensive damage to paddy crops, coffee plantations,vegetables reported.",IMD,,567,32
UEI-IMD-FL-2010-0064,2010-05-03,2010-05-03,1.0,heavy rains,,Wayanad,Kerala,,,,,,,,,,i) Damage to crops reported. ii) Few houses damaged.,IMD,,567,32
UEI-IMD-FL-2010-0065,2010-05-29,2010-05-29,1.0,heavy rains,,Kozhikode,Kerala,,,,,1.0,,,,One child died.,,IMD,,561,32
UEI-IMD-FL-2010-0066,2010-06-08,2010-06-08,1.0,heavy rains,,Idukki,Kerala,,,,,,,,,,"i) More than 25 acres of crop land damaged. ii) Water tank, check dams,pipelines destroyed. iii) Landslide reported.",IMD,,556,32
UEI-IMD-FL-2010-0067,2010-06-11,2010-06-15,5.0,heavy rains,,"Alappuzha, Ernakulam, Idukki, Kasaragod, Kochi,Kottayam, Kozhikode, Malappuram, Palakkad, Pathanamthitta,Thrissur,Thiruvananthapuram,Wayanad",Kerala,,,,,,,,,"30 persons died, 8 persons  missing,19 others injured.","i) Widespread damage to crops reported.ii) About 230 houses completely,170 partially damaged. iii) Landslide reported. iv) Low lying areas flooded. v) State highway submerged. vi) Power lines / rail / road / air traffic disrupted.",IMD,,"554, 555, 556, 558, None, 560, 561, 562, 563, 564, 566, 565, 567",32
UEI-IMD-FL-2010-0068,2010-07-19,2010-07-19,1.0,heavy rains,,Thiruvananthapuram,Kerala,,,,,,1.0,,,One person injured.,"Road traffic,electric supply disrupted.",IMD,,565,32
UEI-IMD-FL-2010-0069,2010-09-17,2010-09-19,3.0,heavy rains,,"Alappuzha, Ernakulam,Kozhikode",Kerala,,,,,2.0,,,,2 persons died.,"i) About 30,000 persons shifted to safer places. ii) Trees uprooted. iii) Road traffic disrupted.",IMD,,"554, 555, 561",32
UEI-IMD-FL-2010-0070,2010-09-24,2010-09-24,1.0,heavy rains,,Kottayam,Kerala,,,,,,4.0,,,4 persons injured.,i) Landslide reported. ii) Many houses damaged.,IMD,,560,32
UEI-IMD-FL-2010-0071,2010-10-03,2010-10-08,6.0,"flood (karamana, neyyak,vamanapuram)",,"Alappuzha, Kollam Kozhikode, Malappuram,Thrissur, Thiruvananthapuram,Wayanad",Kerala,,,,,20.0,1.0,,,"About 20 persons died, one persons injured.","i) About 500 acres of ginger,other person missing,3 crops damaged.ii) About 400 houses completely,1380 houses partially damaged. iii) About 3,000 persons shifted to safer places. iv) Loss to paddy crops worth about Rs. 2.5 crores reported. v) Low lying areas flooded. vi) Telecommunication,power supply disrupted. . vii) Trees,electric poles uprooted. viii) Road/rail /air traffic disrupted.",IMD,,"554, None, 562, 566, 565, 567",32
UEI-IMD-FL-2010-0072,2010-10-18,2010-10-18,1.0,heavy rains,,"Alappuzha, Kottayam, Pathanamthitta,Thiruvananthapuram,Thrissur",Kerala,,,,,,,,,,i) Property worth about Rs. 1.55 crores damaged. ii) About 1350 persons shifted to safer places. iii) About 1130 houses damaged. iv) Low lying areas submerged.,IMD,,"554, 560, 564, 565, 566",32
UEI-IMD-FL-2010-0073,2010-10-22,2010-10-22,1.0,heavy rains,,"Kannur, Kasaragod, Kozhikode, Malappuram,Wayanad",Kerala,,,,,,,,,,"i) Extensive damage to banana,paddy fields reported. ii) Few houses collapsed. iii) Low lying areas flooded. iv) Trees uprooted. v) Road traffic disrupted.",IMD,,"557, 558, 561, 562, 567",32
UEI-IMD-FL-2010-0074,2010-10-27,2010-10-29,3.0,heavy rains,,"Idukki,Thiruvananthapuram",Kerala,,,,,3.0,,,,3 persons died.,"i) Damage to banana, tapioca,beetle leaf,vegetables reported. ii) About 20 houses damaged. iii) Landslide reported.",IMD,,"556, 565",32
UEI-IMD-FL-2010-0075,2010-11-08,2010-11-08,1.0,heavy rains,,Thiruvananthapuram,Kerala,,,,,,,,,,i) Heavy loss to agriculture reported. ii) About 550 houses damaged iii) Low lying areas flooded.,IMD,,565,32
UEI-IMD-FL-2010-0076,2010-11-16,2010-11-16,1.0,heavy rains,,Thiruvananthapuram,Kerala,,,,,1.0,,,,One person died.,i) Landslide reported ii) Few houses damaged. iii) Low lying areas water logged. iv) Road traffic disrupted.,IMD,,565,32
UEI-IMD-FL-2010-0077,2010-11-20,2010-11-24,5.0,heavy rains,,"Kozhikode, Palakkad, Pathanamthitta, Thiruvananthapuram,Wayanad",Kerala,,,,,2.0,,,7000,i) 2 children injured. ii) 7000 hens drowned.,"i) Damage to crops worth lakhs of rupees reported. ii) About 12,000 hectares of paddy fields submerged iii) Damage to banana,tapioca crops reported. iv) A poultry farm submerged. v) Landslide reported. vi) Low lying areas flooded. vii) Few houses damaged.",IMD,,"561, 563, 564, 565, 567",32
UEI-IMD-FL-2010-0078,2010-11-27,2010-11-28,2.0,heavy rains,,"Pathanamthitta,Thiruvananthapuram",Kerala,,,,,1.0,,,,A woman injured.,i) About 30 houses damaged. ii) About 5000 vehicles stranded.,IMD,,"564, 565",32
UEI-IMD-FL-2010-0079,2010-12-08,2010-12-08,1.0,heavy rains,,Thiruvananthapuram,Kerala,,,,,1.0,1.0,,,"One person died,other missing.",i) About Rs. 125 lakhs of crops damaged. ii) Landslide reported. iii) About 100 families shifted to relief camps. iv) About 600 houses damaged. v) Road/rail/air traffic disrupted. vi) Electric supply disrupted. vii) Low lying areas flooded.,IMD,,565,32
UEI-IMD-FL-2011-0040,2011-04-14,2011-04-14,1.0,heavy rains,,Wayanad,Kerala,,,,,,,,,,"i)Damage to Ambalavayal Govt. High school,4 other buildings reported. ii)15 houses damaged. iii) Trees uprooted disrupting Electricity television 1 telephone services.",IMD,,567,32
UEI-IMD-FL-2011-0041,2011-04-21,2011-04-21,1.0,heavy rains,,Wayanad,Kerala,,,,,,,,,,KSRTC bus stand slide down causing traffic disruption.,IMD,,567,32
UEI-IMD-FL-2011-0042,2011-04-25,2011-04-25,1.0,heavy rains,,Alappuzha,Kerala,,,,,,,,,,2000 acres of paddy field damaged leading to a loss worth crores.,IMD,,554,32
UEI-IMD-FL-2011-0043,2011-04-28,2011-04-30,3.0,heavy rains,,Thiruvananthapuram,Kerala,,,,,1.0,,,,One person died.,One house damaged as tree fell over it.,IMD,,565,32
UEI-IMD-FL-2011-0044,2011-06-01,2011-06-03,3.0,heavy rains,,"Alappuzha, Idukki, Kollam, Kottayam, Kozhikode, Malappuram, Pathanamthitta, Thrissur, Thiruvananthapuram,Wayanad",Kerala,,,,,1.0,4.0,,,"3 persons drowned, another died,2 others missing.","i) 25 houses completely,429 houses partially damaged while 8 houses submerged. ii) About 5,500 banana crops damaged. iii)Coir industry affected. iv) Estimated loss of about Rs. 18 lakhs in 150 hectares of land reported. vi) Landslides reported. vi)Several trees uprooted disrupting road/rail/electric supply.",IMD,,"554, 556, 559, 560, 561, 562, 564, 566, 565, 567",32
UEI-IMD-FL-2011-0045,2011-06-05,2011-06-08,4.0,heavy rains,,"Alappuzha, Ernakulam, Idukki, Kottayam, Malappuram, Pathanamthitta, Thiruvananthapuram,Thrissur",Kerala,,,,,4.0,5.0,,,"4 persons drowned, other missing,4 others injured.","i) 4 houses completely,153 houses partially damaged. ii) Damage to crops worth Rs. 60 lakhs reported. iii) Damage to property worth Rs.8 lakhs reported. iv) About 10,000 banana plantations damaged.",IMD,,"554, 555, 556, 560, 562, 564, 565, 566",32
UEI-IMD-FL-2011-0046,2011-06-17,2011-06-18,2.0,heavy rains,,Wayanad,Kerala,,,,,,,,,,"i) About 166 families affected. ii) 10 houses partially,one house completely damaged. iii)Estimated damage worth about 20 lakhs reported. iv) NH, public liabrary, bridge,4 shops submerged. v) Road,bridge damaged due to landslide.",IMD,,567,32
UEI-IMD-FL-2011-0047,2011-06-29,2011-06-29,1.0,heavy rains,,Kozhikode,Kerala,,,,,,,,,,i) 3 acres of agricultural land damaged. ii) Landslide reported.,IMD,,561,32
UEI-IMD-FL-2011-0048,2011-07-16,2011-07-20,5.0,heavy rains,,"Malappuram, Kasaragod, Kozhikode,Wayanad",Kerala,,,,,4.0,1.0,,,"4 persons died,one drowned.",i)14 houses damaged. ii)Rubber crop affected. iii) NH-212 disrupted due to landslide. iv) Low lying areas submerged. v) Trees/electric poles uprooted.,IMD,,"562, 558, 561, 567",32
UEI-IMD-FL-2011-0049,2011-08-06,2011-08-07,2.0,heavy rains,,"Idukki, Kannur, Kottayam, Pathanamthitta,Thiruvananthapuram",Kerala,,,,,1.0,1.0,,,"One person died,other missing.","i) Around 2,000 people shifted to safer places. ii)Damage to crops reported. iii) Landslides at 18 places reported causing road traffic disruption on Kollam-Theni,Kochi-Madhura NH. iv) 65 houses completely,117 houses partially damaged.v) Road traffic,power supply on Punalur-Murattupuzha state highway disrupted. vi) 3 bridges across Pampa river submerged.",IMD,,"556, 557, 560, 564, 565",32
UEI-IMD-FL-2011-0050,2011-08-28,2011-09-04,8.0,heavy rains,,"Kozhikode, Malappuram, Palakkad, Thiruvananthapuram, Thrissur,Wayanad",Kerala,,,,,2.0,1.0,,,"2 persons electrocuted,one student drowned.","i) 21 houses completely,22partially damaged. ii) About 12,000 hectares of paddy fields submerged iii) Extensive damage to banana,rubber crops, vegetables reported. iv)Multiple landslides reported. v) Kerala-Tamil Nadu interstate high way traffic disrupted.",IMD,,"561, 562, 563, 565, 566, 567",32
UEI-IMD-FL-2011-0051,2011-10-10,2011-10-10,1.0,heavy rains,,Wayanad,Kerala,,,,,,,,,,"Padimudi bridge collapsed,traffication was cut off.",IMD,,567,32
UEI-IMD-FL-2011-0052,2011-10-14,2011-10-17,4.0,heavy rains,,"Idukki,Wayanad",Kerala,,,,,2.0,,,,2 persons died.,"i)One house washed away,other partially damaged. ii) Thousands of banana plantations damaged. iii)Crops worth thousand rupees damaged.",IMD,,"556, 567",32
UEI-IMD-FL-2011-0053,2011-10-21,2011-10-21,1.0,heavy rains,,"Malappuram,Thrissur",Kerala,,,,,,,,,,"i) Approx. 25,000 banana plantations,5,000 banana seedlings damaged. ii)Damage to rubber, coconut,cocoa plantations reported. iii) Electricity supply disrupted.",IMD,,"562, 566",32
UEI-IMD-FL-2011-0054,2011-10-31,2011-11-08,9.0,heavy rains,,"Kannur, Thiruvananthapuram,Wayanad",Kerala,,,,,,5.0,,,5 persons injured.,"i) 4 houses completely,26 partially damaged. Several houses submerged. Hundreds of rubber, banana, coffee, topioca, ginger,vegetable cultivations damaged. Hundreds acres of paddy fields submerged. Estimated loss of more than 25 lakhs reported. V) Damage to private property reported.",IMD,,"557, 565, 567",32
UEI-IMD-FL-2011-0055,2011-11-26,2011-11-27,2.0,heavy rains,,Thiruvananthapuram,Kerala,,,,,,4.0,,,4 persons injured.,"i)5 houses completely,112 partially damaged. ii)Damage to fishing boats,nets worth rupees more than 40 lakhs reported. iii)Low lying areas submerged. iv)Several trees uprooted. v)Road traffic,electricity supply disrupted.",IMD,,565,32
UEI-IMD-FL-2011-0056,2011-12-31,2011-12-31,1.0,heavy rains,,"Alappuzha, Kollam,Thiruvananthapuram",Kerala,,,,,,,,,,"i)26 persons shifted to relief camps. ii)About 550 houses completely,6 houses partially damaged. iii)12,000 hectares paddy crops submerged.",IMD,,"554, 559, 565",32
UEI-IMD-FL-2012-0045,2012-04-07,2012-04-07,1.0,heavy rains,,Kollam,Kerala,,,,,,,,,,Damage to the crops in lakhs of rupees reported.,IMD,,559,32
UEI-IMD-FL-2012-0046,2012-04-09,2012-04-09,1.0,heavy rains,,Wayanad,Kerala,,,,,,,,,,"i)Approx. 10,000 banana,500 rubber plantations damaged. ii) 4 houses damaged in Punalur.",IMD,,567,32
UEI-IMD-FL-2012-0047,2012-04-23,2012-04-23,1.0,heavy rains,,Pathanamthitta,Kerala,,,,,2.0,,,,2 persons died in Pandalam town.,"i) Extensive damage to rubber, topioca, banana plantations reported. ii) Landslide reported. iii) Several trees uprooted.",IMD,,564,32
UEI-IMD-FL-2012-0048,2012-04-24,2012-04-27,4.0,heavy rains,,Thrissur,Kerala,,,,,2.0,,,,2 persons died.,"i) About 800 acres of paddy crop land,2000 tons of paddy crops damaged. ii) Damage to about 200 kachcha houses reported.",IMD,,566,32
UEI-IMD-FL-2012-0049,2012-06-06,2012-06-06,1.0,heavy rains,,Wayanad,Kerala,,,,,,,,,,About 600 plantations damaged.,IMD,,567,32
UEI-IMD-FL-2012-0050,2012-06-12,2012-06-12,1.0,heavy rains,,Kottayam,Kerala,,,,,40.0,,,,"About 40 children,few teachers injured.",A huge tree uprooted causing damage to school building.,IMD,,560,32
UEI-IMD-FL-2012-0051,2012-07-02,2012-07-03,2.0,heavy rains,,Thiruvananthapuram,Kerala,,,,,3.0,,,,"3 persons died, other injured.","i)18 houses completely,70 houses partially damaged. ii)Extensive damage to agricultural land reported. iii)Asbestos roofs of Malayankizhu Govt. Girls School blown away.",IMD,,565,32
UEI-IMD-FL-2012-0052,2012-07-28,2012-07-28,1.0,heavy rains,,Wayanad,Kerala,,,,,,,,,,Damage to Banana plantations worth about 2 lakh rupees reported.,IMD,,567,32
