UEI,Start Date,End Date,Duration(Days),Main Cause,Location,Districts,State,Latitude,Longitude,Severity,Area Affected,Human fatality,Human injured,Human Displaced,Animal Fatality,Description of Casualties/injured,Extent of damage,Event Source,Event Souce ID,District_LGD_Codes,State_Codes
UEI-IMD-FL-1998-0055,1998-05-15,1998-05-15,1.0,heavy rains,,Thiruvananthapuram,Kerala,,,,,,,,,,"Widespread damaged to houses,trees reported",IMD,,565,32
UEI-IMD-FL-1998-0056,1998-06-28,1998-06-28,1.0,heavy rains,,Idukki,Kerala,,,,,,,,,,"Widespread damaged to houses, trees, crops,also to telegraphic,electric poles reported",IMD,,556,32
UEI-IMD-FL-1998-0057,1998-07-02,1998-07-06,5.0,heavy rains,,"Idukki, Kasaragod, Kottayam, Malappuram, Palakkad, Thiruvananthapuram,Wayanad",Kerala,,,,,45.0,,,,45 people died,"Widespread damaged to houses, trees, electric lines,rubber plantation",IMD,,"556, 558, 560, 562, 563, 565, 567",32
UEI-IMD-FL-1998-0058,1998-07-12,1998-07-15,4.0,heavy rains,,"Ernakulam, Idukki, Malappuram, Pathanamthitta,Thrissur",Kerala,,,,,5.0,,,,"4 persons,1 child died",Several houses damaged,IMD,,"555, 556, 562, 564, 566",32
UEI-IMD-FL-1998-0059,1998-10-10,1998-10-17,8.0,severe floods,,"Kollam, Kottayam, Kozhikode, Malappuram, Pathanamthitta, Thiruvananthapuram,Wayanad",Kerala,,,,,44.0,,,,44 persons died,i)Widespread loss to crops reported ii)One bridge damaged in Kollam iii)1039 houses damaged iv)Property worth crores of rupees damaged,IMD,,"559, 560, 561, 562, 564, 565, 567",32
UEI-IMD-FL-1998-0060,1998-11-01,1998-11-05,5.0,heavy rains,,"Idukki,Thiruvananthapuram",Kerala,,,,,,3.0,,,3 persons injured in landslide,"i)45 houses fully,154 partially damaged due to landslides ii)Widespread loss to crops reported iii)Train service between Nagarcoil,Thiruvananthapuram dislocated",IMD,,"556, 565",32
UEI-IMD-FL-1998-0061,1998-11-11,1998-11-12,2.0,heavy rains,,"Palakkad,Pathanamthitta",Kerala,,,,,,,,,,"A few houses,one bridge damaged",IMD,,"563, 564",32
UEI-IMD-FL-1999-0043,1999-02-05,1999-02-05,1.0,heavy rains,,Kollam,Kerala,,,,,4.0,,,,4 person injured,"Widespread damaged to crops, trees, electricity,telephone line reported",IMD,,559,32
UEI-IMD-FL-1999-0044,1999-05-25,1999-05-28,4.0,heavy rains,,"Idukki,Kottayam",Kerala,,,,,1.0,,,,1 person died,Landslides reported from Idukki,IMD,,"556, 560",32
UEI-IMD-FL-1999-0045,1999-06-07,1999-06-12,6.0,heavy rains,,"Kasaragod, Wayanad, Kozhikode, Malappuram, Palakkad, Thrissur, Idukki, Ernakulam, Alappuzha, Kottayam, Pathanamthitta, Kollam, Thiruvananthapuram, Kannur",Kerala,,,,,18.0,80.0,,,"18 persons died,more than 80 injured","i)Rail/Road service dislocated ii)Many houses damaged iii)Widespread damage to property,agriculture reported",IMD,,"558, 567, 561, 562, 563, 566, 556, 555, 554, 560, 564, 559, 565, 557",32
UEI-IMD-FL-1999-0046,1999-06-16,1999-06-20,5.0,heavy rains,,"Ernakulam, Idukki, Kasaragod, Kozhikode, Malappuram, Palakkad,Pathanamthitta",Kerala,,,,,14.0,,,,14 persons died out of which 5 died in a house collapse,"i)Kuttiyadi canal-wall collapsed ii)Many houses damaged iii)Widespread damage to crops,property reported",IMD,,"555, 556, 558, 561, 562, 563, 564",32
UEI-IMD-FL-1999-0047,1999-07-17,1999-07-31,15.0,heavy rains,,"Idukki, Kannur, Kasaragod, Kollam, Palakkad, Pathanamthitta, Thiruvananthapuram,Thrissur",Kerala,,,,,19.0,6.0,,,"19 persons died,6 injured in different icidence of house collapse","i)Landslides from various places reported ii)Many trees/electric poles uprooted iii)Widespread loss of property,agriculture reported",IMD,,"556, 557, 558, 559, 563, 564, 565, 566",32
UEI-IMD-FL-1999-0048,1999-08-02,1999-08-02,1.0,heavy rains,,"Kasaragod, Kozhikode,Malappuram",Kerala,,,,,3.0,,,,3 persons died,,IMD,,"558, 561, 562",32
UEI-IMD-FL-1999-0049,1999-10-09,1999-10-09,1.0,heavy rains,,Kannur,Kerala,,,,,2.0,,,,2 persons died in a landslide near Nadapuram,i)Landslides reported ii)A few houses destroyed,IMD,,557,32
UEI-IMD-FL-1999-0050,1999-10-18,1999-10-22,5.0,heavy rains,,"Kasaragod, Wayanad, Kozhikode, Malappuram, Palakkad, Thrissur, Idukki, Ernakulam, Alappuzha, Kottayam, Pathanamthitta, Kollam, Thiruvananthapuram, Kannur",Kerala,,,,,21.0,,,,21 persons died,"i)1218 houses/huts damaged ii)Widespread damage to property,agriculture reported",IMD,,"558, 567, 561, 562, 563, 566, 556, 555, 554, 560, 564, 559, 565, 557",32
UEI-IMD-FL-2000-0062,2000-04-08,2000-04-08,1.0,heavy rains,,Thiruvananthapuram,Kerala,,,,,2.0,5.0,,,"2 women died,5 persons injured",,IMD,,565,32
UEI-IMD-FL-2000-0063,2000-06-08,2000-06-14,7.0,heavy rains,,"Alappuzha, Idukki,Kannur",Kerala,,,,,,2.0,,,2 persons drowned,"(i) Sebveral houses collapsed. A church building collapsed (ii) Widespread damage to agriculture,property reported",IMD,,"554, 556, 557",32
UEI-IMD-FL-2000-0064,2000-06-17,2000-06-17,1.0,heavy rains,,Alappuzha,Kerala,,,,,,,,,,A rice mill collapsed,IMD,,554,32
UEI-IMD-FL-2000-0065,2000-07-01,2000-07-01,1.0,heavy rains,,Kasaragod,Kerala,,,,,1.0,,,,1 person died,"About 650 houses fully,more than 5000 partially collapsed",IMD,,558,32
UEI-IMD-FL-2000-0066,2000-07-07,2000-07-10,4.0,heavy rains,,"Idukki, Kollam, Pathanamthitta,Thiruvananthapuram",Kerala,,,,,63.0,15.0,,,"63 persons died,more than 15 iunjured","(i) About 180 houses fully,2500 houses partially collapsed (ii) widespread damage to property,agriculture reportd",IMD,,"556, 559, 564, 565",32
UEI-IMD-FL-2000-0067,2000-08-08,2000-08-08,1.0,heavy rains,,Kottayam,Kerala,,,,,,12.0,,,"2 fishermen drowned,10 students injured under a school building at Kumarakom",One school building collapsed,IMD,,560,32
UEI-IMD-FL-2000-0068,2000-08-22,2000-08-28,7.0,heavy rains,,"Alappuzha, Idukki, Kannur, Kasaragod, Kollam, Kottayam, Kozhikode, Malappuram, Palakkad, Pathanamthitta, Thiruvananthapuram, Thrissur,Wayanad",Kerala,,,,,37.0,,,,"37 people died,a few injured",(i) Widespread damage to crops repoted (ii) Many houses collapsed/damaged,IMD,,"554, 556, 557, 558, 559, 560, 561, 562, 563, 564, 565, 566, 567",32
UEI-IMD-FL-2001-0048,2001-04-07,2001-04-07,1.0,heavy rains,,"Kottayam,Kozhikode",Kerala,,,,,,,,,,"Widespread damage to property,agriculture reported",IMD,,"560, 561",32
UEI-IMD-FL-2001-0049,2001-05-26,2001-05-26,1.0,heavy rains,,"Alappuzha, Kollam,Kozhikode",Kerala,,,,,,1.0,,,1 person reported missing,"100 houses collapsed in Kollam,3 others in two districts",IMD,,"554, 559, 561",32
UEI-IMD-FL-2001-0050,2001-06-08,2001-06-08,1.0,heavy rains,,Kasaragod,Kerala,,,,,1.0,,,,1 person died,,IMD,,558,32
UEI-IMD-FL-2001-0051,2001-06-15,2001-06-21,7.0,heavy rains,,"Alappuzha, Kollam, Kozhikode, Malappuram,Wayanad",Kerala,,,,,5.0,3.0,,,"5 persons including 1 child died,3 persons missing",,IMD,,"554, 559, 561, 562, 567",32
UEI-IMD-FL-2001-0052,2001-07-08,2001-07-14,7.0,heavy rains,,"Alappuzha, Idukki, Kollam, Kottayam, Thiruvananthapuram,Thrissur",Kerala,,,,,22.0,,,,"22 persons died in Idukki dist. due to landslides,other incidences","(i) Landslides reported (ii)Widespread damage to property,,crops reported (iii) Damage to 210 houses also reported",IMD,,"554, 556, 559, 560, 565, 566",32
UEI-IMD-FL-2001-0053,2001-09-22,2001-09-25,4.0,heavy rains,,Thiruvananthapuram,Kerala,,,,,,5.0,,,5 persons injured,"(i)2144 houses damaged (ii) Widespread damage to agriculture,property reported",IMD,,565,32
UEI-IMD-FL-2001-0054,2001-11-10,2001-11-10,1.0,heavy rains,,Thiruvananthapuram,Kerala,,,,,40.0,,,,40 persons died in a landslide at Poochmukki near Neyyar dam from Kurisumala Hills; a few others injured,"(i) Landslides reported (ii) Electricity supply was totally cut (iii)4 houses completely collapsed (iv)Police, army,fire brigade officials called for rescue operations",IMD,,565,32
UEI-IMD-FL-2002-0030,2002-06-11,2002-06-13,3.0,heavy rains,,"Kollam, Kozhikode,Thrissur",Kerala,,,,,2.0,,,,2 persons died,Damages to several houses reported,IMD,,"559, 561, 566",32
UEI-IMD-FL-2002-0031,2002-07-12,2002-07-12,1.0,heavy rains,,Kannur,Kerala,,,,,1.0,,,,1 person died due to landslide,"(i)Laandslides reported (ii) Widespread damage to crops,property reported",IMD,,557,32
UEI-IMD-FL-2002-0032,2002-08-16,2002-08-16,1.0,heavy rains,,"Kottayam, Kozhikode,Palakkad",Kerala,,,,,3.0,,,,3 persons died,"Widespread damage to crops,property reported",IMD,,"560, 561, 563",32
UEI-IMD-FL-2002-0033,2002-10-12,2002-10-13,2.0,heavy rains,,Kasaragod,Kerala,,,,,2.0,2.0,,,"2 persons died,2 reported missing",Damage to property in Kumbala,IMD,,558,32
UEI-IMD-FL-2002-0034,2002-10-13,2002-10-16,4.0,heavy rains,,"Kannur, Kasaragod, Kozhikode,Thiruvananthapuram",Kerala,,,,,11.0,,,,11 pesons died,(i)Nearly half a dozen landslides reported in Kannur (ii)Hundreds of houses damaged (iii)Thousands of people marooned. 3000 families shifted to safer places (iv) Widespread damages to agricultura also reported,IMD,,"557, 558, 561, 565",32
UEI-IMD-FL-2003-0045,2003-06-18,2003-06-24,7.0,heavy rains,,"Kannur, Kasaragod, Kozhikode,Thiruvananthapuram",Kerala,,,,,6.0,3.0,,,"6 persons died,3 Children injured in different incidents of drowning/ house collapse","(i)Several houses completely/ partially collapsed/ damaged (ii)Many trees uprooted (iii)The enclosure wall of a well collapsed,the well reported sank in Kozhikode district",IMD,,"557, 558, 561, 565",32
UEI-IMD-FL-2003-0046,2003-07-04,2003-07-04,1.0,heavy rains,,Kottayam,Kerala,,,,,1.0,,,,1 person died due to shop collapse,,IMD,,560,32
UEI-IMD-FL-2003-0047,2003-07-06,2003-07-06,1.0,heavy rains,,"Kasaragod, Kottayam,Palakkad",Kerala,,,,,4.0,2.0,,,"4 persons died,2 other injured in different incidents of drowning/ house collapse in Kottayam,Palakkad dist",A few houses collapsed in Kasaragod dist,IMD,,"558, 560, 563",32
UEI-IMD-FL-2003-0048,2003-07-15,2003-07-15,1.0,heavy rains,,Kasaragod,Kerala,,,,,,1.0,,,1 person drowned,,IMD,,558,32
UEI-IMD-FL-2003-0049,2003-10-02,2003-10-02,1.0,heavy rains,,Thrissur,Kerala,,,,,,2.0,,,2 students washed away,,IMD,,566,32
UEI-IMD-FL-2003-0050,2003-10-05,2003-10-07,3.0,heavy rains,,"Idukki, Kollam,Thiruvananthapuram",Kerala,,,,,1.0,3.0,,,"1 person died,3 others injured due to house collapse/ tree collapse in Kollam dist","(i)Landslide reported in Kollam district (ii)Around 65 houses partially/completely damaged in Idukki,Thiruvananthapuram dist. (iii) Rail services disrupted du to falling of trees over rail track in Thiruvananthapuram dist.",IMD,,"556, 559, 565",32
UEI-IMD-FL-2003-0051,2003-10-23,2003-10-23,1.0,heavy rains,,Palakkad,Kerala,,,,,,,,,,50 acres of agriculture damaged,IMD,,563,32
UEI-IMD-FL-2004-0034,2004-06-04,2004-06-18,15.0,heavy rains,,"Idukki, Kannur, Kollam, Kottayam, Kozhikode, Malappuram, Palakkad , Thrissur,Thiruvananthapuram",Kerala,,,,,25.0,5.0,,,"25 persons died, 3 injured,2 reported missing in separate incidents of landslide,drowning","(i)Landslide reported (ii)Wayanad mountain pass blocked (iii)Widespread damage to agriculture reported (iv)Many houses including  a school building collapsed,many other damaged",IMD,,"556, 557, 559, 560, 561, 562, 563, 566, 565",32
UEI-IMD-FL-2004-0035,2004-07-04,2004-07-04,1.0,heavy rains,,Kannur,Kerala,,,,,,,,,,"(i)Landslide reported (ii) A few houses damaged (iii)50 acres of agriculture damaged (iv) 5 bridges collapsed,a few roads damaged",IMD,,557,32
UEI-IMD-FL-2004-0036,2004-07-07,2004-07-09,3.0,heavy rains,,"Thiruvananthapuram,Wayanad",Kerala,,,,,,1.0,,,1 person drowned in Thriuvananthapuram dist,(i)Widespread damage to agriculture reported (ii)A few roads damaged,IMD,,"565, 567",32
UEI-IMD-FL-2004-0037,2004-07-19,2004-07-19,1.0,heavy rains,,Thiruvananthapuram,Kerala,,,,,,,,,,"50 houses completely,500 partially damaged",IMD,,565,32
UEI-IMD-FL-2004-0038,2004-08-03,2004-08-08,6.0,heavy rains,,"Idukki, Kannur, Kasaragod, Kollam, Kozhikode, Malappuram, Palakkad,Wayanad",Kerala,,,,,31.0,29.0,,,"31 persons died, 29 injured,5 reported missing","(i)More thean 2000 houses damaged/destroyed (ii)Roads also damaged (iii)Damage to crops also reported (iv)Checkdam at Pothumattom in Idukki dist, collapsed",IMD,,"556, 557, 558, 559, 561, 562, 563, 567",32
UEI-IMD-FL-2004-0039,2004-10-04,2004-10-04,1.0,heavy rains,,"Alappuzha, Ernakulam,Thrissur",Kerala,,,,,2.0,,,,2 persons died,(i)64 houses partially damaged (ii)Thousands of acres of 'Karippadom' submerged. Rice fields submerged,IMD,,"554, 555, 566",32
UEI-IMD-FL-2005-0066,2005-02-01,2005-02-01,1.0,heavy rains,,Thiruvananthapuram,Kerala,,,,,2.0,,,,2 persons died,(i)Landslide reported in Kallar (ii)Damage to agriculture reported,IMD,,565,32
