UEI,Start Date,End Date,Duration(Days),Main Cause,District
UEI-IMD-FL-1997-0048,1997-11-03,1997-11-11,9.0,heavy rains,Pathanamthitta
UEI-IMD-FL-1997-0049,1997-11-28,1997-11-28,1.0,heavy rains,Idukki
UEI-IMD-FL-1997-0050,1997-12-16,1997-12-16,1.0,heavy rains,Ernakulam
UEI-IMD-FL-1998-0055,1998-05-15,1998-05-15,1.0,heavy rains,Thiruvananthapuram
UEI-IMD-FL-1998-0056,1998-06-28,1998-06-28,1.0,heavy rains,Idukki
UEI-IMD-FL-1998-0057,1998-07-02,1998-07-06,5.0,heavy rains,Idukki
UEI-IMD-FL-1998-0057,1998-07-02,1998-07-06,5.0,heavy rains,Kasaragod
UEI-IMD-FL-1998-0057,1998-07-02,1998-07-06,5.0,heavy rains,Kottayam
UEI-IMD-FL-1998-0057,1998-07-02,1998-07-06,5.0,heavy rains,Malappuram
UEI-IMD-FL-1998-0057,1998-07-02,1998-07-06,5.0,heavy rains,Palakkad
UEI-IMD-FL-1998-0057,1998-07-02,1998-07-06,5.0,heavy rains,Thiruvananthapuram
UEI-IMD-FL-1998-0057,1998-07-02,1998-07-06,5.0,heavy rains,Wayanad
