UEI,Start Date,End Date,Duration(Days),Main Cause,District
UEI-IMD-FL-1991-0047,1991-07-07,1991-07-07,1.0,heavy rains,Thiruvananthapuram
UEI-IMD-FL-1992-0025,1992-05-18,1992-05-19,2.0,heavy rains,Alappuzha
UEI-IMD-FL-1992-0025,1992-05-18,1992-05-19,2.0,heavy rains,Ernakulam
UEI-IMD-FL-1992-0026,1992-06-08,1992-06-09,2.0,heavy rains,Kasaragod
UEI-IMD-FL-1992-0026,1992-06-08,1992-06-09,2.0,heavy rains,Wayanad
UEI-IMD-FL-1992-0026,1992-06-08,1992-06-09,2.0,heavy rains,Kozhikode
UEI-IMD-FL-1992-0026,1992-06-08,1992-06-09,2.0,heavy rains,Malappuram
UEI-IMD-FL-1992-0026,1992-06-08,1992-06-09,2.0,heavy rains,Palakkad
UEI-IMD-FL-1992-0026,1992-06-08,1992-06-09,2.0,heavy rains,Thrissur
UEI-IMD-FL-1992-0026,1992-06-08,1992-06-09,2.0,heavy rains,Idukki
UEI-IMD-FL-1992-0026,1992-06-08,1992-06-09,2.0,heavy rains,Ernakulam
UEI-IMD-FL-1992-0026,1992-06-08,1992-06-09,2.0,heavy rains,Alappuzha
UEI-IMD-FL-1992-0026,1992-06-08,1992-06-09,2.0,heavy rains,Kottayam
UEI-IMD-FL-1992-0026,1992-06-08,1992-06-09,2.0,heavy rains,Pathanamthitta
UEI-IMD-FL-1992-0026,1992-06-08,1992-06-09,2.0,heavy rains,Kollam
UEI-IMD-FL-1992-0026,1992-06-08,1992-06-09,2.0,heavy rains,Thiruvananthapuram
UEI-IMD-FL-1992-0026,1992-06-08,1992-06-09,2.0,heavy rains,Kannur
UEI-IMD-FL-1992-0027,1992-07-02,1992-07-02,1.0,heavy rains,Kasaragod
UEI-IMD-FL-1992-0027,1992-07-02,1992-07-02,1.0,heavy rains,Wayanad
UEI-IMD-FL-1992-0027,1992-07-02,1992-07-02,1.0,heavy rains,Kozhikode
UEI-IMD-FL-1992-0027,1992-07-02,1992-07-02,1.0,heavy rains,Malappuram
UEI-IMD-FL-1992-0027,1992-07-02,1992-07-02,1.0,heavy rains,Palakkad
